10 2 2

9 4
29 40

0 3 2 3 4 
1 3 2 8 9 
2 3 1 7 
3 3 2 5 6 
4 3 2 8 9 
5 3 2 7 8 
6 3 1 7 
7 3 0 
8 3 0 
9 3 0 

0 1 3 6 0 9 0 
0 2 9 5 0 0 8 
0 3 10 0 6 0 6 
1 1 1 0 4 0 8 
1 2 1 7 0 0 8 
1 3 5 0 4 0 5 
2 1 3 10 0 0 7 
2 2 5 7 0 2 0 
2 3 8 6 0 0 7 
3 1 4 0 9 8 0 
3 2 6 2 0 0 7 
3 3 10 0 5 0 5 
4 1 2 2 0 8 0 
4 2 4 0 8 5 0 
4 3 6 2 0 0 1 
5 1 3 5 0 10 0 
5 2 6 0 7 10 0 
5 3 8 5 0 0 10 
6 1 4 6 0 0 1 
6 2 10 3 0 10 0 
6 3 10 4 0 0 1 
7 1 2 2 0 6 0 
7 2 7 1 0 0 8 
7 3 10 1 0 0 7 
8 1 1 4 0 4 0 
8 2 1 0 2 0 8 
8 3 9 4 0 0 5 
9 1 1 0 0 0 0 
9 2 1 0 0 0 0 
9 3 1 0 0 0 0 
