instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error,,,,148,392
J5064_4.mm,428,1097385,13659614,26,Optimal,117.04,No,,,,,,
J5064_5.mm,395,1026134,11325728,22,Optimal,98.95,No,,,,,,
J5065_1.mm,390,792671,9788856,27,Optimal,80.93,No,,,,,,
J5065_2.mm,408,961532,11642103,22,Optimal,96.15,No,,,,,,
J5065_3.mm,390,889774,10925710,28,Optimal,90.39,No,,,,,,
J5065_4.mm,409,934292,11289840,29,Optimal,93.88,No,,,,,,
J5065_5.mm,423,1055430,12363270,29,Optimal,101.7,No,,,,,,
J5066_1.mm,400,832943,10823548,24,Optimal,91.67,No,,,,,,
J5066_2.mm,393,926639,11128867,23,Optimal,94.1,No,,,,,,
J5066_3.mm,419,1029105,12703871,29,Optimal,106.82,No,,,,,,
J5066_4.mm,386,950189,10988510,25,Optimal,93.62,No,,,,,,
J5066_5.mm,385,830718,9828769,37,Optimal,82.83,No,,,,,,
J5067_1.mm,374,2024925,12896095,37,Optimal,381.07,No,,,,,,
J5067_2.mm,405,2261340,13866136,42,Optimal,243.09,No,,,,,,
J5067_3.mm,393,2021737,11754269,42,Optimal,423.08,No,,,,,,
J5067_4.mm,402,2285613,14455396,31,Feasible,601.41,Yes,wall-time kill (parent),,,,,
J5067_5.mm,418,2190912,15414339,44,Feasible,601.47,Yes,wall-time kill (parent),,,,,
J5068_1.mm,391,2158194,13568749,28,Optimal,137.43,No,,,,,,
J5068_2.mm,433,2325089,15847621,32,Optimal,144.75,No,,,,,,
J5068_3.mm,389,2005370,12663915,30,Optimal,126.81,No,,,,,,
J5068_4.mm,404,2222086,14458970,32,Optimal,128.48,No,,,,,,
J5068_5.mm,398,2194169,13493686,30,Optimal,131,No,,,,,,
J5069_1.mm,381,2013425,12960351,20,Optimal,115.01,No,,,,,,
J5069_2.mm,380,2064318,12661698,28,Optimal,109.94,No,,,,,,
J5069_3.mm,394,2239629,13042944,21,Optimal,112.75,No,,,,,,
J5069_4.mm,385,2086952,13112616,29,Optimal,113.86,No,,,,,,
J5069_5.mm,405,2310610,15320573,24,Optimal,131.6,No,,,,,,
J506_1.mm,418,874917,11097746,20,Optimal,94.68,No,,,,,,
J506_2.mm,411,868153,11418610,21,Optimal,99.05,No,,,,,,
J506_3.mm,402,807913,11686743,20,Optimal,104.36,No,,,,,,
J506_4.mm,409,790409,9943507,25,Optimal,84.16,No,,,,,,
J506_5.mm,415,834459,11009864,24,Optimal,102.95,No,,,,,,
J5070_1.mm,407,2257402,16252364,24,Optimal,161.66,No,,,,,,
J5070_2.mm,420,2208304,14484631,30,Optimal,147.39,No,,,,,,
J5070_3.mm,386,2150533,13192306,23,Optimal,123.48,No,,,,,,
J5070_4.mm,385,1969862,12237519,27,Optimal,111.33,No,,,,,,
J5070_5.mm,395,2092054,12953874,26,Optimal,115.6,No,,,,,,
J5071_1.mm,419,2337130,14583980,27,Optimal,126.48,No,,,,,,
J5071_2.mm,391,2182622,13049566,24,Optimal,117.98,No,,,,,,
J5071_3.mm,390,2055091,14893118,24,Optimal,125.61,No,,,,,,
J5071_4.mm,394,1978183,13144645,36,Optimal,113.83,No,,,,,,
J5071_5.mm,415,2220660,14304094,27,Optimal,128.53,No,,,,,,
J5072_1.mm,395,2151806,14243260,21,Optimal,130.55,No,,,,,,
J5072_2.mm,406,2249222,14351500,30,Optimal,130.34,No,,,,,,
J5072_3.mm,378,1941625,11922225,23,Optimal,107.32,No,,,,,,
J5072_4.mm,407,2119475,14375242,26,Optimal,130.55,No,,,,,,
J5072_5.mm,409,2145738,13973969,28,Optimal,125.65,No,,,,,,
J5073_1.mm,383,574345,7236074,68,Optimal,356.69,No,,,,,,
J5073_2.mm,395,646851,8943535,86,Feasible,601.22,Yes,wall-time kill (parent),,,,,
J5073_3.mm,394,588544,6954331,89,Feasible,601.22,Yes,wall-time kill (parent),,,,,
J5073_4.mm,395,567220,6768980,78,Feasible,601.22,Yes,wall-time kill (parent),,,,,
J5073_5.mm,378,505123,7089289,78,Optimal,398.87,No,,,,,,
J5074_1.mm,413,671527,8292428,57,Optimal,201.06,No,,,,,,
J5074_2.mm,381,583793,7424378,51,Optimal,183.81,No,,,,,,
J5074_3.mm,411,615291,8053555,66,Feasible,601.26,Yes,wall-time kill (parent),,,,,
J5074_4.mm,379,573653,7000678,54,Optimal,87.83,No,,,,,,
J5074_5.mm,410,655175,9296577,57,Optimal,526.1,No,,,,,,
J5075_1.mm,406,655102,8047720,51,Optimal,72.8,No,,,,,,
J5075_2.mm,411,656804,8870581,40,Optimal,83.46,No,,,,,,
J5075_3.mm,402,691758,8565574,45,Optimal,83.36,No,,,,,,
J5075_4.mm,387,598796,6804535,51,Optimal,59.55,No,,,,,,
J5075_5.mm,402,625984,7903425,44,Optimal,71.21,No,,,,,,
J5076_1.mm,383,596352,7484227,44,Optimal,110.74,No,,,,,,
J5076_2.mm,391,664894,7908491,40,Optimal,93.25,No,,,,,,
J5076_3.mm,386,591205,7487178,43,Optimal,115.47,No,,,,,,
J5076_4.mm,376,577125,7708006,39,Optimal,70,No,,,,,,
J5076_5.mm,402,674879,8147317,49,Optimal,90.4,No,,,,,,
J5077_1.mm,399,627867,8070419,44,Optimal,68.7,No,,,,,,
J5077_2.mm,399,606459,7193324,48,Optimal,64.11,No,,,,,,
J5077_3.mm,407,580461,8166608,47,Optimal,72.3,No,,,,,,
J5077_4.mm,391,594591,7138296,47,Optimal,62.23,No,,,,,,
J5077_5.mm,415,604126,9003489,39,Optimal,76.2,No,,,,,,
J5078_1.mm,421,694889,8987115,49,Optimal,78.71,No,,,,,,
J5078_2.mm,401,603429,7656560,53,Optimal,67.21,No,,,,,,
J5078_3.mm,408,636065,8667494,38,Optimal,77.55,No,,,,,,
J5078_4.mm,411,620849,7632726,48,Optimal,68.42,No,,,,,,
J5078_5.mm,419,700347,9736185,42,Optimal,85.39,No,,,,,,
J5079_1.mm,380,1160025,9594673,80,Feasible,601.22,Yes,wall-time kill (parent),,,,,
J5079_2.mm,417,1265024,10676284,134,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5079_3.mm,400,1378438,10215463,75,Feasible,601.38,Yes,wall-time kill (parent),,,,,
J5079_4.mm,416,1132509,10287875,73,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5079_5.mm,377,1021001,8083339,124,Feasible,601.22,Yes,wall-time kill (parent),,,,,
J507_1.mm,417,1749983,13970523,68,Feasible,601.25,Yes,wall-time kill (parent),,,,,
J507_2.mm,394,1621436,12017309,68,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J507_3.mm,411,1683035,13517210,68,Feasible,601.24,Yes,wall-time kill (parent),,,,,
J507_4.mm,382,1492918,11186616,66,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J507_5.mm,377,1535260,13064351,57,Feasible,601.34,Yes,wall-time kill (parent),,,,,
J5080_1.mm,418,1231504,11316963,83,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5080_2.mm,408,1231687,9120666,89,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5080_3.mm,410,1169013,9058416,92,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5080_4.mm,416,1261568,9783059,87,Feasible,601.3,Yes,wall-time kill (parent),,,,,
J5080_5.mm,398,1140235,8858592,88,Feasible,601.18,Yes,wall-time kill (parent),,,,,
J5081_1.mm,392,1120177,9079048,63,Optimal,364.32,No,,,,,,
J5081_2.mm,369,1129579,7617582,59,Optimal,128.11,No,,,,,,
J5081_3.mm,377,1056908,7585904,65,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5081_4.mm,402,1173776,8181318,75,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5081_5.mm,410,1237332,9968407,65,Feasible,601.28,Yes,wall-time kill (parent),,,,,
J5082_1.mm,390,1101309,8465363,68,Feasible,601.29,Yes,wall-time kill (parent),,,,,
J5082_2.mm,412,1155756,11148529,84,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5082_3.mm,400,1165937,9454484,61,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5082_4.mm,403,1234319,9557865,90,Feasible,601.19,Yes,wall-time kill (parent),,,,,
J5082_5.mm,390,1159192,9129803,55,Feasible,601.31,Yes,wall-time kill (parent),,,,,
J5083_1.mm,380,1192837,8641589,49,Optimal,162.61,No,,,,,,
J5083_2.mm,374,1041660,7696289,54,Optimal,84.79,No,,,,,,
J5083_3.mm,393,1046113,9041751,51,Optimal,116.38,No,,,,,,
J5083_4.mm,417,1250220,10596978,56,Feasible,601.29,Yes,wall-time kill (parent),,,,,
J5083_5.mm,402,1188963,9032651,62,Optimal,406.37,No,,,,,,
J5084_1.mm,401,1203939,9573173,51,Optimal,361.57,No,,,,,,
J5084_2.mm,398,1178785,9374794,57,Optimal,468.27,No,,,,,,
J5084_3.mm,412,1221915,9122124,60,Feasible,601.25,Yes,wall-time kill (parent),,,,,
J5084_4.mm,403,1122663,9083156,61,Feasible,601.33,Yes,wall-time kill (parent),,,,,
J5084_5.mm,402,1263869,9320267,63,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5085_1.mm,389,649424,8162860,75,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5085_2.mm,398,631362,7507943,67,Optimal,128.25,No,,,,,,
J5085_3.mm,400,732117,8174768,63,Optimal,348.85,No,,,,,,
J5085_4.mm,433,748480,9613262,88,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5085_5.mm,408,706684,7840521,77,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5086_1.mm,401,784073,8476149,52,Optimal,128.52,No,,,,,,
J5086_2.mm,399,749910,7548916,55,Optimal,71.66,No,,,,,,
J5086_3.mm,405,742854,7730604,59,Optimal,100.45,No,,,,,,
J5086_4.mm,420,690993,8669268,64,Optimal,92.77,No,,,,,,
J5086_5.mm,401,790382,7450200,56,Optimal,83.99,No,,,,,,
J5087_1.mm,392,658053,7595188,40,Optimal,65.65,No,,,,,,
J5087_2.mm,396,769999,8156622,40,Optimal,69.53,No,,,,,,
J5087_3.mm,401,753993,8844297,41,Optimal,76.02,No,,,,,,
J5087_4.mm,397,606053,8065959,43,Optimal,67.82,No,,,,,,
J5087_5.mm,383,679151,6878543,51,Optimal,58.76,No,,,,,,
J5088_1.mm,403,741520,8077505,46,Optimal,75.63,No,,,,,,
J5088_2.mm,406,631118,7550656,45,Optimal,76.13,No,,,,,,
J5088_3.mm,391,706698,8259934,44,Optimal,71.57,No,,,,,,
J5088_4.mm,407,608482,7945645,49,Optimal,68.78,No,,,,,,
J5088_5.mm,397,808282,7943244,43,Optimal,90.3,No,,,,,,
J5089_1.mm,423,784220,8482643,46,Optimal,72.31,No,,,,,,
J5089_2.mm,400,660813,7609856,57,Optimal,64.81,No,,,,,,
J5089_3.mm,412,764410,9342150,41,Optimal,79.2,No,,,,,,
J5089_4.mm,404,672123,7989086,45,Optimal,67.75,No,,,,,,
J5089_5.mm,393,649141,7043350,48,Optimal,60.17,No,,,,,,
J508_1.mm,413,1862685,14273422,64,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J508_2.mm,412,1846961,13762295,40,Feasible,601.28,Yes,wall-time kill (parent),,,,,
J508_3.mm,386,1621215,12152651,62,Feasible,601.31,Yes,wall-time kill (parent),,,,,
J508_4.mm,415,1832338,14239943,218,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J508_5.mm,406,1555809,12054127,70,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5090_1.mm,395,616201,7027931,54,Optimal,61.61,No,,,,,,
J5090_2.mm,416,660182,8264149,43,Optimal,70.69,No,,,,,,
J5090_3.mm,408,682855,8153797,50,Optimal,70.69,No,,,,,,
J5090_4.mm,412,757603,9121453,43,Optimal,79.14,No,,,,,,
J5090_5.mm,415,691379,8991681,42,Optimal,76.58,No,,,,,,
J5091_1.mm,406,1458557,9377063,69,Optimal,205.67,No,,,,,,
J5091_2.mm,378,1037197,7738202,88,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5091_3.mm,393,1445076,9714036,54,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5091_4.mm,396,1434462,9767190,78,Optimal,436.79,No,,,,,,
J5091_5.mm,389,1435962,9830805,61,Feasible,601.37,Yes,wall-time kill (parent),,,,,
J5092_1.mm,420,1537791,10521130,63,Optimal,178.12,No,,,,,,
J5092_2.mm,400,1372151,9288437,61,Optimal,577.51,No,,,,,,
J5092_3.mm,398,1561265,9562324,54,Optimal,93.05,No,,,,,,
J5092_4.mm,413,1495951,10077578,65,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5092_5.mm,410,1709779,11561335,52,Optimal,263.62,No,,,,,,
J5093_1.mm,392,1575743,9494304,52,Optimal,85.74,No,,,,,,
J5093_2.mm,411,1706979,9975500,45,Optimal,94.73,No,,,,,,
J5093_3.mm,400,1564907,9326740,52,Optimal,86.33,No,,,,,,
J5093_4.mm,403,1473903,10593251,36,Optimal,160.1,No,,,,,,
J5093_5.mm,402,1385174,10244009,45,Optimal,94.74,No,,,,,,
J5094_1.mm,390,1438796,9437213,44,Optimal,125.67,No,,,,,,
J5094_2.mm,418,1390773,9766004,60,Optimal,198.62,No,,,,,,
J5094_3.mm,420,1588949,11049490,45,Optimal,211.77,No,,,,,,
J5094_4.mm,411,1515290,10512793,43,Optimal,575.76,No,,,,,,
J5094_5.mm,390,1556266,9869374,40,Optimal,120.72,No,,,,,,
J5095_1.mm,390,1339088,8846923,50,Optimal,81.49,No,,,,,,
J5095_2.mm,402,1544246,9343028,47,Optimal,83.53,No,,,,,,
J5095_3.mm,382,1380665,9057801,43,Optimal,95.95,No,,,,,,
J5095_4.mm,403,1648639,9627344,46,Optimal,91.3,No,,,,,,
J5095_5.mm,398,1416046,8945409,45,Optimal,88.89,No,,,,,,
J5096_1.mm,405,1585092,10913185,39,Optimal,107.57,No,,,,,,
J5096_2.mm,394,1429162,8649487,48,Optimal,174.21,No,,,,,,
J5096_3.mm,413,1537981,9649405,44,Optimal,92.88,No,,,,,,
J5096_4.mm,398,1350332,8404293,45,Optimal,82.29,No,,,,,,
J5096_5.mm,402,1509070,10258813,42,Optimal,132.64,No,,,,,,
J5097_1.mm,385,773834,7693296,63,Optimal,341.73,No,,,,,,
J5097_2.mm,396,795021,8497393,65,Optimal,400.7,No,,,,,,
J5097_3.mm,401,762643,7622209,73,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5097_4.mm,392,748402,8071187,56,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5097_5.mm,396,822382,8143374,95,Feasible,601.22,Yes,wall-time kill (parent),,,,,
J5098_1.mm,433,835785,9283488,71,Optimal,89.61,No,,,,,,
J5098_2.mm,421,834630,9330927,55,Optimal,114.51,No,,,,,,
J5098_3.mm,415,833203,8244756,54,Optimal,133.11,No,,,,,,
J5098_4.mm,391,743968,7663334,53,Optimal,76.55,No,,,,,,
J5098_5.mm,397,804297,9122950,49,Optimal,109.62,No,,,,,,
J5099_1.mm,409,840673,9070238,38,Optimal,81.68,No,,,,,,
J5099_2.mm,391,778293,7975775,39,Optimal,69.05,No,,,,,,
J5099_3.mm,368,773663,7609718,35,Optimal,67.25,No,,,,,,
J5099_4.mm,418,755309,8698181,45,Optimal,75.1,No,,,,,,
J5099_5.mm,388,742521,8275590,36,Optimal,72.69,No,,,,,,
J509_1.mm,403,1572828,11550112,42,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J509_2.mm,403,1773971,13534463,27,Feasible,601.42,Yes,wall-time kill (parent),,,,,
J509_3.mm,402,1703080,12720522,30,Feasible,601.37,Yes,wall-time kill (parent),,,,,
J509_4.mm,390,1623071,13957044,36,Feasible,601.37,Yes,wall-time kill (parent),,,,,
J509_5.mm,410,1821364,13208028,31,Feasible,601.37,Yes,wall-time kill (parent),,,,,
